"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"16007";"";
"TraceParts.PartVersion";"1.3.5";"";
"TraceParts.InstanceId";"10-21092016-0913778VHN2ZMA1DGOHSKP7RAPNCL4B";"";
"TraceParts.PartTitle";"Deep groove ball bearings, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 35 mm, Outside Ø 62 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.112";"";
