"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-21092016-091377";"";
"REFERENCE";"61807";"";
"TraceParts.PartVersion";"1.3.5";"";
"TraceParts.InstanceId";"10-21092016-0913777RFB9IE24G54BS391WN4MKPKP";"";
"TraceParts.PartTitle";"Deep groove ball bearings, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Single row deep groove ball bearing, Bore Ø 35 mm, Outside Ø 47 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.0287";"";
